Date,Category,Quantity,Revenue,Orders
2010-12-02,"Furniture, Cabinets & Storage Furniture",546,1713.15,33
2010-12-02,"Garden, Bird Feeding & Outdoor Décor",96,258.6,13
2010-12-02,"Gift Wrap, Tape & Ribbons",1444,1345.6499999999999,26
2010-12-02,"Glass Jars, Bottles & Vases",51,250.51000000000002,4
2010-12-02,Hair Accessories,8,20.4,2
2010-12-02,Hand Warmers & Umbrellas,773,1740.2900000000002,43
2010-12-02,Hot Water Bottles,496,1792.5,37
2010-12-02,"Jewellery - Bracelets, Rings & Brooches",57,201.45,10
2010-12-02,Jewellery - Earrings,2,5.9,1
2010-12-02,Jewellery - Necklaces,5,47.349999999999994,2
2010-12-02,"Jigsaw Puzzles, Card Games & Board Games",3974,1438.6399999999999,20
2010-12-02,Jumbo Bags & Shoppers,393,687.15,25
2010-12-02,Kitchen Storage & Containers,1108,1008.76,30
2010-12-02,Kitchen Utensils & Tools,105,482.5,17
2010-12-02,Lamps & Lampshades,130,351.09999999999997,4
2010-12-02,Lanterns,322,489.65999999999997,17
2010-12-02,Lunch Boxes & Snack Bags,933,1589.55,25
2010-12-02,Memo Boards & Blackboards,37,131.65,8
2010-12-02,Metal Signs & Plaques,434,751.01,11
2010-12-02,Mirrors,2,11.9,1
2010-12-02,Miscellaneous,3807,6914.88,68
2010-12-02,"Mugs, Cups & Glasses",1305,1561.74,43
2010-12-02,"Paper Napkins, Doilies & Bunting",410,596.64,18
2010-12-02,Party & Event Accessories,175,152.75,9
2010-12-02,Picture Frames & Photo Accessories,308,952.98,29
2010-12-02,"Plates, Bowls, Trays & Serveware",500,960.08,25
2010-12-02,Sewing & Craft Kits,227,497.9,18
2010-12-02,"Stationery, Notebooks & Greeting Cards",820,437.15999999999997,20
2010-12-02,"Stickers, Patches & Badges",207,184.39,9
2010-12-02,Tea & Coffee Sets,20,105.9,10
2010-12-02,Tealight Holders & Sets,3697,4021.2,43
2010-12-02,Travel & Office Accessories,5,7.1,2
2010-12-02,Trinket Boxes & Keepsakes,257,468.95,16
2010-12-02,Unclassified,0,0.0,0
2010-12-02,Wall Art & Prints,0,0.0,0
2010-12-02,Wooden Letters & Number Tiles,51,335.45,12
2010-12-03,"Bag Charms, Key Rings & Phone Charms",1,1.25,1
2010-12-03,"Bags, Purses & Backpacks",838,2510.0,28
2010-12-03,"Baskets, Hampers & Wicker",35,177.0,8
2010-12-03,Cake Cases & Baking Accessories,946,1151.9,21
2010-12-03,Cake Stands,277,3514.8399999999997,16
2010-12-03,"Candles, Incense & Matches",1890,991.38,22
2010-12-03,Children's Toys & Playsets,283,751.01,19
2010-12-03,Christmas Decorations,831,1084.99,25
2010-12-03,Clocks & Timepieces,131,587.62,5
2010-12-03,"Clothing, Accessories & Beauty",136,235.73000000000002,11
2010-12-03,"Coat Racks, Hooks & Hangers",71,227.79,12
2010-12-03,Colouring & Art Supplies,316,323.65999999999997,16
2010-12-03,"Cushions, Quilts & Home Textiles",74,351.45,9
2010-12-03,Cutlery & Chopping Boards,113,555.06,11
2010-12-03,Decorative Hanging Ornaments & Figurines,467,787.08,27
2010-12-03,Doormats & Doorstops,108,1015.2,18
2010-12-03,Easter Decorations,0,0.0,0
2010-12-03,Egg Cups & Holders,12,75.54,2
2010-12-03,Fairy Lights & Decorative Garlands,815,3883.31,27
2010-12-03,"Furniture, Cabinets & Storage Furniture",230,485.59999999999997,13
2010-12-03,"Garden, Bird Feeding & Outdoor Décor",63,172.53,6
2010-12-03,"Gift Wrap, Tape & Ribbons",453,798.13,18
2010-12-03,"Glass Jars, Bottles & Vases",15,103.63,3
2010-12-03,Hair Accessories,3,8.05,2
2010-12-03,Hand Warmers & Umbrellas,804,1862.96,23
2010-12-03,Hot Water Bottles,998,6238.87,25
2010-12-03,"Jewellery - Bracelets, Rings & Brooches",67,127.17,5
2010-12-03,Jewellery - Earrings,3,11.46,2
2010-12-03,Jewellery - Necklaces,18,84.43,5
2010-12-03,"Jigsaw Puzzles, Card Games & Board Games",283,470.46999999999997,11
2010-12-03,Jumbo Bags & Shoppers,309,812.03,15
2010-12-03,Kitchen Storage & Containers,167,510.21,17
2010-12-03,Kitchen Utensils & Tools,118,714.4300000000001,17
2010-12-03,Lamps & Lampshades,10,99.5,2
2010-12-03,Lanterns,6,35.14,3
2010-12-03,Lunch Boxes & Snack Bags,720,1467.78,18
2010-12-03,Memo Boards & Blackboards,43,242.77,10
2010-12-03,Metal Signs & Plaques,241,579.84,12
2010-12-03,Mirrors,8,65.19999999999999,4
2010-12-03,Miscellaneous,866,2271.44,29
2010-12-03,"Mugs, Cups & Glasses",553,1419.19,24
2010-12-03,"Paper Napkins, Doilies & Bunting",296,556.85,21
2010-12-03,Party & Event Accessories,84,105.96,6
2010-12-03,Picture Frames & Photo Accessories,80,392.39,9
2010-12-03,"Plates, Bowls, Trays & Serveware",192,397.24,17
2010-12-03,Sewing & Craft Kits,299,1498.98,21
2010-12-03,"Stationery, Notebooks & Greeting Cards",396,812.31,21
2010-12-03,"Stickers, Patches & Badges",172,212.98,9
2010-12-03,Tea & Coffee Sets,50,275.84,8
2010-12-03,Tealight Holders & Sets,841,2565.07,23
2010-12-03,Travel & Office Accessories,97,202.04999999999998,9
2010-12-03,Trinket Boxes & Keepsakes,305,776.29,14
2010-12-03,Unclassified,18,49.41,4
2010-12-03,Wall Art & Prints,0,0.0,0
2010-12-03,Wooden Letters & Number Tiles,25,182.97,7
2010-12-04,"Bag Charms, Key Rings & Phone Charms",0,0.0,0
2010-12-04,"Bags, Purses & Backpacks",0,0.0,0
2010-12-04,"Baskets, Hampers & Wicker",0,0.0,0
2010-12-04,Cake Cases & Baking Accessories,0,0.0,0
2010-12-04,Cake Stands,0,0.0,0
2010-12-04,"Candles, Incense & Matches",0,0.0,0
2010-12-04,Children's Toys & Playsets,0,0.0,0
2010-12-04,Christmas Decorations,0,0.0,0
2010-12-04,Clocks & Timepieces,0,0.0,0
2010-12-04,"Clothing, Accessories & Beauty",0,0.0,0
2010-12-04,"Coat Racks, Hooks & Hangers",0,0.0,0
2010-12-04,Colouring & Art Supplies,0,0.0,0
2010-12-04,"Cushions, Quilts & Home Textiles",0,0.0,0
2010-12-04,Cutlery & Chopping Boards,0,0.0,0
2010-12-04,Decorative Hanging Ornaments & Figurines,0,0.0,0
2010-12-04,Doormats & Doorstops,0,0.0,0
2010-12-04,Easter Decorations,0,0.0,0
2010-12-04,Egg Cups & Holders,0,0.0,0
2010-12-04,Fairy Lights & Decorative Garlands,0,0.0,0
2010-12-04,"Furniture, Cabinets & Storage Furniture",0,0.0,0
2010-12-04,"Garden, Bird Feeding & Outdoor Décor",0,0.0,0
2010-12-04,"Gift Wrap, Tape & Ribbons",0,0.0,0
2010-12-04,"Glass Jars, Bottles & Vases",0,0.0,0
2010-12-04,Hair Accessories,0,0.0,0
2010-12-04,Hand Warmers & Umbrellas,0,0.0,0
2010-12-04,Hot Water Bottles,0,0.0,0
2010-12-04,"Jewellery - Bracelets, Rings & Brooches",0,0.0,0
2010-12-04,Jewellery - Earrings,0,0.0,0
2010-12-04,Jewellery - Necklaces,0,0.0,0
2010-12-04,"Jigsaw Puzzles, Card Games & Board Games",0,0.0,0
2010-12-04,Jumbo Bags & Shoppers,0,0.0,0
2010-12-04,Kitchen Storage & Containers,0,0.0,0
2010-12-04,Kitchen Utensils & Tools,0,0.0,0
2010-12-04,Lamps & Lampshades,0,0.0,0
2010-12-04,Lanterns,0,0.0,0
2010-12-04,Lunch Boxes & Snack Bags,0,0.0,0
2010-12-04,Memo Boards & Blackboards,0,0.0,0
2010-12-04,Metal Signs & Plaques,0,0.0,0
2010-12-04,Mirrors,0,0.0,0
2010-12-04,Miscellaneous,0,0.0,0
2010-12-04,"Mugs, Cups & Glasses",0,0.0,0
2010-12-04,"Paper Napkins, Doilies & Bunting",0,0.0,0
2010-12-04,Party & Event Accessories,0,0.0,0
2010-12-04,Picture Frames & Photo Accessories,0,0.0,0
2010-12-04,"Plates, Bowls, Trays & Serveware",0,0.0,0
2010-12-04,Sewing & Craft Kits,0,0.0,0
2010-12-04,"Stationery, Notebooks & Greeting Cards",0,0.0,0
2010-12-04,"Stickers, Patches & Badges",0,0.0,0
2010-12-04,Tea & Coffee Sets,0,0.0,0
2010-12-04,Tealight Holders & Sets,0,0.0,0
2010-12-04,Travel & Office Accessories,0,0.0,0
2010-12-04,Trinket Boxes & Keepsakes,0,0.0,0
2010-12-04,Unclassified,0,0.0,0
2010-12-04,Wall Art & Prints,0,0.0,0
2010-12-04,Wooden Letters & Number Tiles,0,0.0,0
2010-12-05,"Bag Charms, Key Rings & Phone Charms",58,37.9,8
2010-12-05,"Bags, Purses & Backpacks",1166,916.33,33
2010-12-05,"Baskets, Hampers & Wicker",110,222.75,14
2010-12-05,Cake Cases & Baking Accessories,359,449.54,27
2010-12-05,Cake Stands,145,1265.45,16
2010-12-05,"Candles, Incense & Matches",1019,1425.15,31
2010-12-05,Children's Toys & Playsets,581,1411.43,36
2010-12-05,Christmas Decorations,1486,1417.0,33
2010-12-05,Clocks & Timepieces,158,630.5,14
2010-12-05,"Clothing, Accessories & Beauty",89,138.37,14
2010-12-05,"Coat Racks, Hooks & Hangers",188,508.68,24
2010-12-05,Colouring & Art Supplies,530,425.47,25
2010-12-05,"Cushions, Quilts & Home Textiles",106,472.86,17
2010-12-05,Cutlery & Chopping Boards,85,220.73,11
2010-12-05,Decorative Hanging Ornaments & Figurines,719,1059.06,40
2010-12-05,Doormats & Doorstops,56,410.8,16
2010-12-05,Easter Decorations,8,12.0,2
2010-12-05,Egg Cups & Holders,28,68.7,6
2010-12-05,Fairy Lights & Decorative Garlands,356,1220.98,30
2010-12-05,"Furniture, Cabinets & Storage Furniture",186,607.7,22
2010-12-05,"Garden, Bird Feeding & Outdoor Décor",100,231.70000000000002,13
2010-12-05,"Gift Wrap, Tape & Ribbons",339,418.25,17
2010-12-05,"Glass Jars, Bottles & Vases",38,142.9,7
2010-12-05,Hair Accessories,6,176.9,2
2010-12-05,Hand Warmers & Umbrellas,845,1866.2800000000002,39
2010-12-05,Hot Water Bottles,416,1712.7,33
2010-12-05,"Jewellery - Bracelets, Rings & Brooches",122,193.66,13
2010-12-05,Jewellery - Earrings,0,0.0,0
2010-12-05,Jewellery - Necklaces,0,0.0,0
2010-12-05,"Jigsaw Puzzles, Card Games & Board Games",333,603.53,18
2010-12-05,Jumbo Bags & Shoppers,150,278.8,22
2010-12-05,Kitchen Storage & Containers,551,805.12,28
2010-12-05,Kitchen Utensils & Tools,86,347.87,21
2010-12-05,Lamps & Lampshades,10,59.44,5
2010-12-05,Lanterns,16,65.30000000000001,4
2010-12-05,Lunch Boxes & Snack Bags,484,831.65,27
2010-12-05,Memo Boards & Blackboards,91,441.54999999999995,13
2010-12-05,Metal Signs & Plaques,162,283.02,19
2010-12-05,Mirrors,6,37.15,3
2010-12-05,Miscellaneous,1416,2714.81,64
2010-12-05,"Mugs, Cups & Glasses",615,947.91,39
2010-12-05,"Paper Napkins, Doilies & Bunting",370,787.94,24
2010-12-05,Party & Event Accessories,85,89.82,9
2010-12-05,Picture Frames & Photo Accessories,178,592.01,21
2010-12-05,"Plates, Bowls, Trays & Serveware",559,850.88,34
2010-12-05,Sewing & Craft Kits,146,570.55,31
2010-12-05,"Stationery, Notebooks & Greeting Cards",267,352.21,25
2010-12-05,"Stickers, Patches & Badges",116,100.4,11
2010-12-05,Tea & Coffee Sets,76,213.20000000000002,16
2010-12-05,Tealight Holders & Sets,1112,1935.0,35
2010-12-05,Travel & Office Accessories,28,33.89,8
2010-12-05,Trinket Boxes & Keepsakes,152,338.7,18
2010-12-05,Unclassified,0,0.0,0
2010-12-05,Wall Art & Prints,0,0.0,0
2010-12-05,Wooden Letters & Number Tiles,63,374.45000000000005,11
2010-12-06,"Bag Charms, Key Rings & Phone Charms",18,20.79,4
2010-12-06,"Bags, Purses & Backpacks",719,1308.1,40
2010-12-06,"Baskets, Hampers & Wicker",177,501.62,15
2010-12-06,Cake Cases & Baking Accessories,578,795.36,24
2010-12-06,Cake Stands,181,2241.01,20
2010-12-06,"Candles, Incense & Matches",396,1091.46,25
2010-12-06,Children's Toys & Playsets,493,1024.33,26
2010-12-06,Christmas Decorations,1910,2644.72,35
2010-12-06,Clocks & Timepieces,84,412.24,14
2010-12-06,"Clothing, Accessories & Beauty",69,236.5,10
2010-12-06,"Coat Racks, Hooks & Hangers",206,655.81,17
2010-12-06,Colouring & Art Supplies,1055,697.8199999999999,21
2010-12-06,"Cushions, Quilts & Home Textiles",228,958.76,21
2010-12-06,Cutlery & Chopping Boards,60,230.3,10
2010-12-06,Decorative Hanging Ornaments & Figurines,681,1158.19,32
2010-12-06,Doormats & Doorstops,98,862.66,19
2010-12-06,Easter Decorations,6,13.58,3
2010-12-06,Egg Cups & Holders,30,127.25999999999999,6
2010-12-06,Fairy Lights & Decorative Garlands,573,2433.1,36
2010-12-06,"Furniture, Cabinets & Storage Furniture",173,719.34,17
2010-12-06,"Garden, Bird Feeding & Outdoor Décor",97,390.96,13
2010-12-06,"Gift Wrap, Tape & Ribbons",746,808.74,32
2010-12-06,"Glass Jars, Bottles & Vases",23,133.85,6
2010-12-06,Hair Accessories,12,22.39,4
2010-12-06,Hand Warmers & Umbrellas,1602,3548.4,43
2010-12-06,Hot Water Bottles,682,3407.64,38
2010-12-06,"Jewellery - Bracelets, Rings & Brooches",120,306.93,12
2010-12-06,Jewellery - Earrings,14,45.29,3
2010-12-06,Jewellery - Necklaces,11,69.17,4
2010-12-06,"Jigsaw Puzzles, Card Games & Board Games",1089,2676.01,22
2010-12-06,Jumbo Bags & Shoppers,318,657.2,24
2010-12-06,Kitchen Storage & Containers,516,1095.1499999999999,28
2010-12-06,Kitchen Utensils & Tools,91,515.4,15
2010-12-06,Lamps & Lampshades,39,151.57000000000002,8
2010-12-06,Lanterns,104,227.45,11
2010-12-06,Lunch Boxes & Snack Bags,1070,1890.1499999999999,31
2010-12-06,Memo Boards & Blackboards,88,467.24,14
2010-12-06,Metal Signs & Plaques,406,989.25,24
2010-12-06,Mirrors,38,149.12,7
2010-12-06,Miscellaneous,1260,3122.35,57
2010-12-06,"Mugs, Cups & Glasses",1196,2388.4,43
2010-12-06,"Paper Napkins, Doilies & Bunting",221,538.39,22
2010-12-06,Party & Event Accessories,71,65.96000000000001,8
2010-12-06,Picture Frames & Photo Accessories,729,2484.64,19
2010-12-06,"Plates, Bowls, Trays & Serveware",269,877.05,19
2010-12-06,Sewing & Craft Kits,410,1173.9,24
2010-12-06,"Stationery, Notebooks & Greeting Cards",720,958.87,32
2010-12-06,"Stickers, Patches & Badges",382,383.84999999999997,14
2010-12-06,Tea & Coffee Sets,89,380.95,15
2010-12-06,Tealight Holders & Sets,1222,2250.48,43
2010-12-06,Travel & Office Accessories,80,180.85,10
2010-12-06,Trinket Boxes & Keepsakes,191,577.61,16
2010-12-06,Unclassified,35,116.92,3
2010-12-06,Wall Art & Prints,13,95.72,4
2010-12-06,Wooden Letters & Number Tiles,79,592.63,14
2010-12-07,"Bag Charms, Key Rings & Phone Charms",52,37.84,2
2010-12-07,"Bags, Purses & Backpacks",1143,2945.02,27
2010-12-07,"Baskets, Hampers & Wicker",52,247.86,12
2010-12-07,Cake Cases & Baking Accessories,568,1139.24,20
2010-12-07,Cake Stands,216,2639.8,13
2010-12-07,"Candles, Incense & Matches",683,1168.4,31
2010-12-07,Children's Toys & Playsets,337,846.79,16
2010-12-07,Christmas Decorations,694,1100.11,20
2010-12-07,Clocks & Timepieces,114,596.96,14
2010-12-07,"Clothing, Accessories & Beauty",83,251.26,10
2010-12-07,"Coat Racks, Hooks & Hangers",301,1193.95,16
2010-12-07,Colouring & Art Supplies,358,395.05,20
2010-12-07,"Cushions, Quilts & Home Textiles",118,564.19,14
2010-12-07,Cutlery & Chopping Boards,146,817.69,13
2010-12-07,Decorative Hanging Ornaments & Figurines,1360,3231.81,27
2010-12-07,Doormats & Doorstops,157,1513.21,18
2010-12-07,Easter Decorations,1,2.51,1
2010-12-07,Egg Cups & Holders,53,211.49,8
2010-12-07,Fairy Lights & Decorative Garlands,790,3760.05,24
2010-12-07,"Furniture, Cabinets & Storage Furniture",588,4821.54,23
2010-12-07,"Garden, Bird Feeding & Outdoor Décor",213,392.38,11
2010-12-07,"Gift Wrap, Tape & Ribbons",546,1228.2,17
2010-12-07,"Glass Jars, Bottles & Vases",16,74.27000000000001,5
2010-12-07,Hair Accessories,32,89.89999999999999,6
2010-12-07,Hand Warmers & Umbrellas,1034,2466.55,30
2010-12-07,Hot Water Bottles,918,6094.71,30
2010-12-07,"Jewellery - Bracelets, Rings & Brooches",100,174.4,9
2010-12-07,Jewellery - Earrings,12,40.64,2
2010-12-07,Jewellery - Necklaces,9,58.15,3
2010-12-07,"Jigsaw Puzzles, Card Games & Board Games",235,557.52,16
2010-12-07,Jumbo Bags & Shoppers,831,1896.35,23
2010-12-07,Kitchen Storage & Containers,248,786.87,19
2010-12-07,Kitchen Utensils & Tools,153,710.63,16
2010-12-07,Lamps & Lampshades,11,25.689999999999998,4
2010-12-07,Lanterns,16,74.21,6
2010-12-07,Lunch Boxes & Snack Bags,473,1126.56,22
2010-12-07,Memo Boards & Blackboards,1363,6293.36,15
2010-12-07,Metal Signs & Plaques,438,952.51,18
2010-12-07,Mirrors,44,141.0,7
2010-12-07,Miscellaneous,6397,19069.05,42
2010-12-07,"Mugs, Cups & Glasses",550,1458.9,25
2010-12-07,"Paper Napkins, Doilies & Bunting",266,488.13,18
2010-12-07,Party & Event Accessories,8,12.01,4
2010-12-07,Picture Frames & Photo Accessories,163,600.08,11
2010-12-07,"Plates, Bowls, Trays & Serveware",460,1016.96,18
2010-12-07,Sewing & Craft Kits,225,1427.34,18
2010-12-07,"Stationery, Notebooks & Greeting Cards",254,819.81,16
2010-12-07,"Stickers, Patches & Badges",111,139.89,8
2010-12-07,Tea & Coffee Sets,134,635.6800000000001,21
2010-12-07,Tealight Holders & Sets,1633,3575.63,40
2010-12-07,Travel & Office Accessories,43,142.82,8
2010-12-07,Trinket Boxes & Keepsakes,376,1031.25,14
2010-12-07,Unclassified,18,13616.789999999999,6
2010-12-07,Wall Art & Prints,5,21.979999999999997,4
2010-12-07,Wooden Letters & Number Tiles,52,335.68,11
2010-12-08,"Bag Charms, Key Rings & Phone Charms",4,6.64,1
2010-12-08,"Bags, Purses & Backpacks",801,1316.01,33
2010-12-08,"Baskets, Hampers & Wicker",32,90.51,6
2010-12-08,Cake Cases & Baking Accessories,1028,1443.8100000000002,30
2010-12-08,Cake Stands,112,1249.19,20
2010-12-08,"Candles, Incense & Matches",634,1159.43,33
2010-12-08,Children's Toys & Playsets,157,417.08,21
2010-12-08,Christmas Decorations,1005,1246.94,31
2010-12-08,Clocks & Timepieces,58,261.14,10
2010-12-08,"Clothing, Accessories & Beauty",393,1059.94,15
2010-12-08,"Coat Racks, Hooks & Hangers",400,754.71,24
2010-12-08,Colouring & Art Supplies,965,789.65,20
2010-12-08,"Cushions, Quilts & Home Textiles",127,471.61,17
2010-12-08,Cutlery & Chopping Boards,91,342.64,12
2010-12-08,Decorative Hanging Ornaments & Figurines,1074,1795.68,36
2010-12-08,Doormats & Doorstops,193,1325.15,19
2010-12-08,Easter Decorations,4,8.02,2
2010-12-08,Egg Cups & Holders,229,302.8,4
2010-12-08,Fairy Lights & Decorative Garlands,375,1435.01,24
2010-12-08,"Furniture, Cabinets & Storage Furniture",410,2019.86,27
2010-12-08,"Garden, Bird Feeding & Outdoor Décor",130,488.79,15
2010-12-08,"Gift Wrap, Tape & Ribbons",596,520.26,22
2010-12-08,"Glass Jars, Bottles & Vases",36,180.5,8
2010-12-08,Hair Accessories,17,45.51,4
2010-12-08,Hand Warmers & Umbrellas,444,827.75,27
2010-12-08,Hot Water Bottles,544,2368.88,34
2010-12-08,"Jewellery - Bracelets, Rings & Brooches",135,256.35,11
2010-12-08,Jewellery - Earrings,1,4.24,1
2010-12-08,Jewellery - Necklaces,3,13.09,1
2010-12-08,"Jigsaw Puzzles, Card Games & Board Games",663,555.48,23
2010-12-08,Jumbo Bags & Shoppers,1541,2643.64,18
2010-12-08,Kitchen Storage & Containers,992,1075.5,29
2010-12-08,Kitchen Utensils & Tools,184,799.02,26
2010-12-08,Lamps & Lampshades,9,61.14,4
2010-12-08,Lanterns,112,274.65,9
2010-12-08,Lunch Boxes & Snack Bags,741,1152.86,28
2010-12-08,Memo Boards & Blackboards,84,387.02,10
2010-12-08,Metal Signs & Plaques,595,1297.31,22
2010-12-08,Mirrors,65,352.32,11
2010-12-08,Miscellaneous,2222,2773.06,51
2010-12-08,"Mugs, Cups & Glasses",1422,2318.72,50
2010-12-08,"Paper Napkins, Doilies & Bunting",368,712.65,29
2010-12-08,Party & Event Accessories,115,123.4,8
2010-12-08,Picture Frames & Photo Accessories,270,818.98,21
2010-12-08,"Plates, Bowls, Trays & Serveware",355,894.77,25
2010-12-08,Sewing & Craft Kits,284,924.55,19
2010-12-08,"Stationery, Notebooks & Greeting Cards",350,406.65999999999997,19
2010-12-08,"Stickers, Patches & Badges",141,138.95999999999998,11
2010-12-08,Tea & Coffee Sets,99,354.78000000000003,20
2010-12-08,Tealight Holders & Sets,1651,2190.9,38
2010-12-08,Travel & Office Accessories,55,97.13999999999999,9
2010-12-08,Trinket Boxes & Keepsakes,638,1010.68,27
2010-12-08,Unclassified,4,19.049999999999997,1
2010-12-08,Wall Art & Prints,7,28.02,2
2010-12-08,Wooden Letters & Number Tiles,101,696.15,12
2010-12-09,"Bag Charms, Key Rings & Phone Charms",111,82.09,3
2010-12-09,"Bags, Purses & Backpacks",521,1195.95,36
2010-12-09,"Baskets, Hampers & Wicker",116,415.64,16
2010-12-09,Cake Cases & Baking Accessories,796,1065.55,33
2010-12-09,Cake Stands,208,2059.3399999999997,22
2010-12-09,"Candles, Incense & Matches",736,1508.14,36
2010-12-09,Children's Toys & Playsets,266,768.01,27
2010-12-09,Christmas Decorations,699,1122.55,34
2010-12-09,Clocks & Timepieces,223,908.94,17
2010-12-09,"Clothing, Accessories & Beauty",115,235.46,11
2010-12-09,"Coat Racks, Hooks & Hangers",318,2625.88,25
2010-12-09,Colouring & Art Supplies,2466,1589.28,18
2010-12-09,"Cushions, Quilts & Home Textiles",80,364.86,14
2010-12-09,Cutlery & Chopping Boards,78,297.76,13
2010-12-09,Decorative Hanging Ornaments & Figurines,1034,1230.17,33
2010-12-09,Doormats & Doorstops,145,1099.43,26
2010-12-09,Easter Decorations,8,20.88,2
2010-12-09,Egg Cups & Holders,157,261.79,6
2010-12-09,Fairy Lights & Decorative Garlands,630,2120.1600000000003,34
2010-12-09,"Furniture, Cabinets & Storage Furniture",265,1093.65,26
2010-12-09,"Garden, Bird Feeding & Outdoor Décor",139,354.25,11
2010-12-09,"Gift Wrap, Tape & Ribbons",369,547.58,22
2010-12-09,"Glass Jars, Bottles & Vases",37,167.12,7
2010-12-09,Hair Accessories,15,16.7,3
2010-12-09,Hand Warmers & Umbrellas,300,983.5200000000001,20
2010-12-09,Hot Water Bottles,1093,5040.88,41
2010-12-09,"Jewellery - Bracelets, Rings & Brooches",116,245.30999999999997,11
2010-12-09,Jewellery - Earrings,5,17.240000000000002,2
2010-12-09,Jewellery - Necklaces,12,108.78,3
