cancellation_row,invoice,available_candidates,selected_original_row,status
4944,C536829,0,,unmatched
5232,C536850,0,,unmatched
5233,C536850,0,,unmatched
5234,C536850,0,,unmatched
5235,C536850,0,,unmatched
5236,C536850,0,,unmatched
5259,C536853,0,,unmatched
5260,C536854,0,,unmatched
5261,C536854,0,,unmatched
5262,C536854,0,,unmatched
5263,C536855,0,,unmatched
6781,C536978,0,,unmatched
6782,C536979,1,2083.0,unique_available_candidate
6783,C536979,0,,unmatched
7278,C537024,0,,unmatched
7437,C537039,0,,unmatched
7438,C537039,0,,unmatched
7439,C537039,0,,unmatched
7520,C537043,0,,unmatched
7521,C537043,0,,unmatched
8316,C537132,0,,unmatched
8317,C537132,0,,unmatched
8318,C537132,0,,unmatched
8319,C537132,0,,unmatched
8320,C537132,0,,unmatched
8321,C537132,0,,unmatched
8685,C537143,1,8593.0,unique_available_candidate
8952,C537157,1,8773.0,unique_available_candidate
9038,C537164,0,,unmatched
9493,C537203,1,2449.0,unique_available_candidate
9494,C537203,0,,unmatched
10194,C537232,0,,unmatched
10204,C537234,0,,unmatched
11502,C537251,0,,unmatched
11503,C537251,0,,unmatched
11504,C537251,0,,unmatched
11505,C537251,0,,unmatched
11506,C537251,0,,unmatched
11507,C537251,0,,unmatched
11508,C537251,0,,unmatched
11509,C537251,0,,unmatched
11510,C537251,0,,unmatched
11511,C537251,0,,unmatched
11512,C537251,0,,unmatched
11513,C537251,0,,unmatched
11514,C537251,0,,unmatched
11515,C537251,0,,unmatched
11516,C537251,0,,unmatched
11517,C537251,0,,unmatched
11518,C537251,0,,unmatched
11519,C537251,0,,unmatched
11520,C537251,0,,unmatched
11521,C537251,0,,unmatched
11799,C537314,1,11761.0,unique_available_candidate
11800,C537320,0,,unmatched
11813,C537333,0,,unmatched
12402,C537373,0,,unmatched
12455,C537379,1,12426.0,unique_available_candidate
12538,C537383,0,,unmatched
12539,C537383,0,,unmatched
12540,C537383,0,,unmatched
12823,C537398,2,9286.0,multiple_available_candidates
12946,C537402,1,9782.0,unique_available_candidate
12947,C537402,1,9781.0,unique_available_candidate
12948,C537402,1,9779.0,unique_available_candidate
12949,C537402,1,9780.0,unique_available_candidate
12950,C537402,1,9769.0,unique_available_candidate
12951,C537402,1,9771.0,unique_available_candidate
13009,C537406,0,,unmatched
13010,C537406,0,,unmatched
13011,C537406,0,,unmatched
13012,C537406,0,,unmatched
13019,C537408,1,13013.0,unique_available_candidate
13020,C537408,1,13018.0,unique_available_candidate
13042,C537413,1,13037.0,unique_available_candidate
13052,C537414,0,,unmatched
13053,C537414,0,,unmatched
13054,C537416,0,,unmatched
13055,C537417,0,,unmatched
13265,C537431,0,,unmatched
14022,C537444,0,,unmatched
14023,C537445,0,,unmatched
14332,C537530,0,,unmatched
14333,C537530,0,,unmatched
14334,C537530,0,,unmatched
14435,C537572,0,,unmatched
14436,C537581,0,,unmatched
14437,C537581,0,,unmatched
14497,C537596,1,6770.0,unique_available_candidate
14498,C537597,0,,unmatched
14514,C537600,0,,unmatched
14524,C537602,0,,unmatched
14525,C537602,0,,unmatched
14526,C537602,0,,unmatched
14527,C537602,0,,unmatched
14528,C537602,0,,unmatched
14529,C537602,0,,unmatched
14530,C537602,0,,unmatched
14531,C537602,0,,unmatched
14532,C537602,0,,unmatched
14533,C537602,0,,unmatched
14534,C537602,0,,unmatched
14535,C537602,0,,unmatched
14536,C537602,0,,unmatched
14537,C537602,0,,unmatched
14716,C537610,0,,unmatched
14717,C537611,1,14706.0,unique_available_candidate
14728,C537613,0,,unmatched
15016,C537630,0,,unmatched
16232,C537644,0,,unmatched
16313,C537647,0,,unmatched
16356,C537651,0,,unmatched
16357,C537652,0,,unmatched
16424,C537656,0,,unmatched
17075,C537677,0,,unmatched
17134,C537684,1,3483.0,unique_available_candidate
17135,C537684,0,,unmatched
17352,C537746,0,,unmatched
17353,C537746,0,,unmatched
17354,C537746,0,,unmatched
17388,C537756,0,,unmatched
17389,C537756,0,,unmatched
17390,C537756,0,,unmatched
17453,C537763,0,,unmatched
17986,C537788,0,,unmatched
17987,C537788,0,,unmatched
18132,C537797,0,,unmatched
18133,C537797,0,,unmatched
18134,C537797,0,,unmatched
18135,C537798,0,,unmatched
18196,C537805,0,,unmatched
18197,C537805,0,,unmatched
18198,C537805,0,,unmatched
18199,C537805,0,,unmatched
18200,C537805,0,,unmatched
18201,C537805,0,,unmatched
18202,C537805,0,,unmatched
18203,C537805,0,,unmatched
18204,C537805,0,,unmatched
18232,C537807,0,,unmatched
18233,C537807,0,,unmatched
18234,C537807,0,,unmatched
18235,C537807,1,13102.0,unique_available_candidate
18246,C537812,0,,unmatched
18247,C537812,0,,unmatched
18255,C537814,0,,unmatched
18351,C537820,2,17752.0,multiple_available_candidates
18352,C537821,0,,unmatched
18974,C537824,0,,unmatched
18975,C537824,0,,unmatched
19101,C537832,0,,unmatched
19102,C537832,0,,unmatched
19103,C537832,0,,unmatched
19105,C537834,0,,unmatched
19106,C537834,0,,unmatched
19107,C537834,0,,unmatched
19108,C537835,0,,unmatched
19124,C537838,0,,unmatched
19348,C537853,0,,unmatched
19349,C537853,0,,unmatched
19350,C537853,1,5268.0,unique_available_candidate
19351,C537853,0,,unmatched
19352,C537853,0,,unmatched
19390,C537856,0,,unmatched
19391,C537856,1,3479.0,unique_available_candidate
19392,C537857,0,,unmatched
19430,C537860,0,,unmatched
19431,C537860,0,,unmatched
19432,C537860,0,,unmatched
19433,C537860,0,,unmatched
19434,C537860,0,,unmatched
19435,C537860,0,,unmatched
19436,C537860,0,,unmatched
19437,C537860,0,,unmatched
19438,C537860,0,,unmatched
19439,C537860,0,,unmatched
19440,C537860,0,,unmatched
19441,C537860,0,,unmatched
19442,C537860,0,,unmatched
19443,C537860,0,,unmatched
19444,C537860,0,,unmatched
19445,C537860,0,,unmatched
19446,C537860,0,,unmatched
19447,C537860,0,,unmatched
19448,C537860,0,,unmatched
19449,C537860,0,,unmatched
19450,C537860,0,,unmatched
19802,C537893,0,,unmatched
19803,C537893,0,,unmatched
19804,C537893,0,,unmatched
19994,C537998,0,,unmatched
19995,C537998,0,,unmatched
20438,C538052,0,,unmatched
20507,C538059,0,,unmatched
20508,C538059,0,,unmatched
20509,C538059,0,,unmatched
20510,C538059,0,,unmatched
20511,C538059,0,,unmatched
20512,C538059,0,,unmatched
20513,C538059,0,,unmatched
20514,C538059,0,,unmatched
20515,C538059,0,,unmatched
20516,C538059,0,,unmatched
20517,C538059,0,,unmatched
20518,C538059,0,,unmatched
20519,C538059,0,,unmatched
20520,C538059,0,,unmatched
20523,C538062,0,,unmatched
20524,C538062,0,,unmatched
20525,C538062,0,,unmatched
20526,C538062,0,,unmatched
20527,C538062,0,,unmatched
20576,C538066,0,,unmatched
21350,C538075,0,,unmatched
21465,C538081,0,,unmatched
21466,C538082,0,,unmatched
21467,C538083,0,,unmatched
21468,C538083,0,,unmatched
21469,C538084,0,,unmatched
21470,C538084,0,,unmatched
21471,C538085,0,,unmatched
21472,C538085,0,,unmatched
21473,C538085,0,,unmatched
21516,C538088,0,,unmatched
21517,C538089,0,,unmatched
21519,C538091,0,,unmatched
21623,C538098,0,,unmatched
21624,C538099,0,,unmatched
21625,C538099,0,,unmatched
21626,C538100,0,,unmatched
21628,C538102,0,,unmatched
21629,C538103,0,,unmatched
21656,C538105,0,,unmatched
21657,C538105,1,4296.0,unique_available_candidate
21697,C538109,0,,unmatched
21698,C538109,0,,unmatched
21699,C538110,0,,unmatched
21700,C538111,1,21663.0,unique_available_candidate
21701,C538112,0,,unmatched
21702,C538112,0,,unmatched
21719,C538114,1,18242.0,unique_available_candidate
21720,C538115,0,,unmatched
21721,C538115,0,,unmatched
21722,C538115,0,,unmatched
21723,C538115,0,,unmatched
21745,C538118,0,,unmatched
21746,C538118,0,,unmatched
21747,C538118,0,,unmatched
21748,C538119,0,,unmatched
21749,C538119,0,,unmatched
21750,C538119,0,,unmatched
21753,C538121,0,,unmatched
21754,C538122,0,,unmatched
21755,C538123,0,,unmatched
21756,C538123,0,,unmatched
21757,C538123,0,,unmatched
21758,C538124,0,,unmatched
21759,C538124,0,,unmatched
21760,C538124,0,,unmatched
22344,C538164,0,,unmatched
23241,C538189,0,,unmatched
24135,C538314,0,,unmatched
24158,C538341,2,24136.0,multiple_available_candidates
24159,C538341,1,24132.0,unique_available_candidate
24160,C538341,1,24130.0,unique_available_candidate
24161,C538341,3,24133.0,multiple_available_candidates
24162,C538341,2,24129.0,multiple_available_candidates
24163,C538341,1,24128.0,unique_available_candidate
24164,C538341,2,24139.0,multiple_available_candidates
24165,C538341,2,24140.0,multiple_available_candidates
24166,C538341,1,24127.0,unique_available_candidate
24167,C538341,3,24119.0,multiple_available_candidates
24168,C538341,2,24114.0,multiple_available_candidates
24169,C538341,1,24107.0,unique_available_candidate
24170,C538341,1,24124.0,unique_available_candidate
24171,C538341,1,24121.0,unique_available_candidate
24172,C538341,1,24108.0,unique_available_candidate
24173,C538341,1,24115.0,unique_available_candidate
24174,C538341,2,24123.0,multiple_available_candidates
24175,C538341,2,24120.0,multiple_available_candidates
24176,C538341,1,24113.0,unique_available_candidate
24177,C538341,1,24110.0,unique_available_candidate
24178,C538341,2,24117.0,multiple_available_candidates
24179,C538341,1,24109.0,unique_available_candidate
24180,C538341,1,24111.0,unique_available_candidate
24181,C538341,1,24105.0,unique_available_candidate
24182,C538341,3,24118.0,multiple_available_candidates
24183,C538341,2,24116.0,multiple_available_candidates
24184,C538341,1,24122.0,unique_available_candidate
24185,C538341,1,24106.0,unique_available_candidate
24186,C538341,2,24147.0,multiple_available_candidates
24187,C538341,2,24148.0,multiple_available_candidates
24188,C538341,2,24149.0,multiple_available_candidates
24189,C538341,2,24150.0,multiple_available_candidates
24190,C538341,2,24151.0,multiple_available_candidates
24191,C538341,2,24152.0,multiple_available_candidates
24192,C538341,2,24153.0,multiple_available_candidates
24193,C538341,2,24154.0,multiple_available_candidates
24194,C538341,2,24155.0,multiple_available_candidates
24195,C538341,2,24156.0,multiple_available_candidates
24196,C538341,2,24157.0,multiple_available_candidates
24214,C538344,1,24211.0,unique_available_candidate
24911,C538350,0,,unmatched
24912,C538350,0,,unmatched
24913,C538350,0,,unmatched
24914,C538350,0,,unmatched
24915,C538350,0,,unmatched
24916,C538350,0,,unmatched
24917,C538350,0,,unmatched
24918,C538350,0,,unmatched
24919,C538350,0,,unmatched
24920,C538350,0,,unmatched
24921,C538350,0,,unmatched
24922,C538350,0,,unmatched
24923,C538350,0,,unmatched
24924,C538350,0,,unmatched
24925,C538350,0,,unmatched
24926,C538350,0,,unmatched
24927,C538350,0,,unmatched
24928,C538350,0,,unmatched
24929,C538350,0,,unmatched
24930,C538350,0,,unmatched
24931,C538350,0,,unmatched
24932,C538350,0,,unmatched
24933,C538350,0,,unmatched
24934,C538350,0,,unmatched
24935,C538350,0,,unmatched
24936,C538350,0,,unmatched
25208,C538357,1,25111.0,unique_available_candidate
25243,C538362,0,,unmatched
25551,C538372,0,,unmatched
25552,C538372,0,,unmatched
25553,C538372,0,,unmatched
25554,C538373,1,17079.0,unique_available_candidate
25606,C538375,0,,unmatched
25607,C538376,0,,unmatched
25608,C538376,0,,unmatched
25609,C538377,0,,unmatched
25610,C538377,0,,unmatched
26055,C538463,1,25974.0,unique_available_candidate
26056,C538463,0,,unmatched
26149,C538500,1,26094.0,unique_available_candidate
27329,C538530,0,,unmatched
27380,C538531,0,,unmatched
27389,C538536,2,27381.0,multiple_available_candidates
27993,C538595,0,,unmatched
28147,C538628,0,,unmatched
28148,C538628,0,,unmatched
28306,C538632,0,,unmatched
28560,C538642,0,,unmatched
28561,C538642,0,,unmatched
28562,C538643,0,,unmatched
28563,C538643,0,,unmatched
28601,C538647,0,,unmatched
28602,C538647,0,,unmatched
28605,C538650,0,,unmatched
28606,C538650,0,,unmatched
28607,C538650,1,21353.0,unique_available_candidate
28958,C538670,2,24199.0,multiple_available_candidates
28992,C538680,0,,unmatched
28993,C538681,0,,unmatched
28994,C538682,0,,unmatched
29015,C538684,0,,unmatched
29016,C538684,0,,unmatched
29017,C538684,0,,unmatched
29019,C538686,0,,unmatched
29048,C538690,0,,unmatched
29049,C538690,0,,unmatched
29050,C538691,0,,unmatched
29051,C538692,0,,unmatched
29052,C538692,0,,unmatched
29053,C538693,0,,unmatched
29054,C538693,0,,unmatched
29055,C538693,0,,unmatched
29056,C538694,0,,unmatched
29057,C538695,0,,unmatched
29058,C538696,0,,unmatched
29062,C538698,0,,unmatched
29063,C538699,0,,unmatched
29064,C538700,1,23238.0,unique_available_candidate
29065,C538701,0,,unmatched
29066,C538702,0,,unmatched
29067,C538703,0,,unmatched
29068,C538704,0,,unmatched
29069,C538705,0,,unmatched
29070,C538705,0,,unmatched
29203,C538711,0,,unmatched
29204,C538712,0,,unmatched
29205,C538713,0,,unmatched
29206,C538713,0,,unmatched
29252,C538717,0,,unmatched
29254,C538718,1,13216.0,unique_available_candidate
29256,C538720,1,20127.0,unique_available_candidate
29278,C538723,0,,unmatched
29279,C538723,0,,unmatched
29280,C538723,0,,unmatched
29281,C538725,1,1312.0,unique_available_candidate
29282,C538726,0,,unmatched
29283,C538734,0,,unmatched
29346,C538742,0,,unmatched
29347,C538745,0,,unmatched
29348,C538749,0,,unmatched
29355,C538755,0,,unmatched
29356,C538763,0,,unmatched
29357,C538768,0,,unmatched
29358,C538768,0,,unmatched
29359,C538771,0,,unmatched
29407,C538794,0,,unmatched
29436,C538798,1,29422.0,unique_available_candidate
29523,C538802,0,,unmatched
29524,C538802,0,,unmatched
29525,C538803,0,,unmatched
29526,C538803,0,,unmatched
29527,C538803,0,,unmatched
29528,C538804,0,,unmatched
29529,C538805,1,11920.0,unique_available_candidate
29530,C538806,0,,unmatched
29676,C538813,0,,unmatched
29943,C538833,0,,unmatched
29944,C538833,0,,unmatched
29945,C538833,0,,unmatched
29946,C538833,0,,unmatched
29947,C538833,0,,unmatched
29948,C538834,0,,unmatched
29949,C538834,0,,unmatched
30078,C538847,0,,unmatched
30556,C538874,0,,unmatched
30557,C538874,0,,unmatched
30558,C538874,0,,unmatched
30559,C538874,0,,unmatched
30569,C538876,0,,unmatched
30972,C538882,1,19905.0,unique_available_candidate
30973,C538882,1,19900.0,unique_available_candidate
30974,C538882,1,19899.0,unique_available_candidate
31004,C538887,1,26758.0,unique_available_candidate
31019,C538889,1,19901.0,unique_available_candidate
31074,C538891,0,,unmatched
31075,C538891,1,17989.0,unique_available_candidate
31134,C538897,0,,unmatched
31135,C538897,0,,unmatched
31136,C538898,0,,unmatched
31210,C538904,0,,unmatched
31464,C538971,0,,unmatched
31589,C538997,0,,unmatched
31590,C538997,0,,unmatched
31663,C539003,0,,unmatched
31935,C539031,1,9303.0,unique_available_candidate
31936,C539031,0,,unmatched
31937,C539031,0,,unmatched
31938,C539031,1,9293.0,unique_available_candidate
31939,C539031,0,,unmatched
31940,C539031,0,,unmatched
31964,C539035,0,,unmatched
31982,C539037,0,,unmatched
31983,C539037,0,,unmatched
32368,C539054,0,,unmatched
32369,C539054,0,,unmatched
32370,C539054,0,,unmatched
32371,C539055,0,,unmatched
32373,C539057,0,,unmatched
32374,C539058,0,,unmatched
32375,C539059,0,,unmatched
32382,C539063,1,4092.0,unique_available_candidate
32383,C539063,0,,unmatched
32384,C539065,0,,unmatched
32385,C539066,1,32380.0,unique_available_candidate
32386,C539066,0,,unmatched
32387,C539067,0,,unmatched
32388,C539067,0,,unmatched
32389,C539067,0,,unmatched
32390,C539068,0,,unmatched
32391,C539069,1,2362.0,unique_available_candidate
32392,C539069,0,,unmatched
32397,C539071,0,,unmatched
32398,C539071,0,,unmatched
32399,C539071,0,,unmatched
32400,C539072,0,,unmatched
32401,C539072,0,,unmatched
32402,C539073,0,,unmatched
32574,C539090,0,,unmatched
32630,C539097,0,,unmatched
32660,C539100,0,,unmatched
32695,C539104,0,,unmatched
32722,C539110,0,,unmatched
32751,C539114,0,,unmatched
32869,C539191,0,,unmatched
32870,C539195,1,19997.0,unique_available_candidate
33082,C539221,0,,unmatched
33083,C539221,0,,unmatched
33084,C539221,0,,unmatched
33085,C539221,1,6724.0,unique_available_candidate
33086,C539221,1,6725.0,unique_available_candidate
33105,C539224,0,,unmatched
33254,C539244,1,2421.0,unique_available_candidate
33396,C539251,1,18107.0,unique_available_candidate
33397,C539251,0,,unmatched
33417,C539253,0,,unmatched
33479,C539258,0,,unmatched
33499,C539260,0,,unmatched
33611,C539270,0,,unmatched
33612,C539270,0,,unmatched
33613,C539271,1,28374.0,unique_available_candidate
33618,C539273,0,,unmatched
33619,C539273,0,,unmatched
33620,C539274,0,,unmatched
33627,C539276,0,,unmatched
33628,C539276,0,,unmatched
33629,C539277,0,,unmatched
33630,C539278,1,18276.0,unique_available_candidate
33635,C539279,1,29415.0,unique_available_candidate
33685,C539284,2,33669.0,multiple_available_candidates
33699,C539287,1,19508.0,unique_available_candidate
33700,C539287,1,19509.0,unique_available_candidate
33702,C539289,0,,unmatched
33749,C539291,0,,unmatched
33750,C539291,0,,unmatched
33862,C539301,0,,unmatched
33863,C539302,0,,unmatched
34291,C539329,1,32721.0,unique_available_candidate
34292,C539329,1,32720.0,unique_available_candidate
34510,C539402,0,,unmatched
34511,C539402,0,,unmatched
34512,C539402,0,,unmatched
34591,C539409,0,,unmatched
36165,C539438,1,32484.0,unique_available_candidate
36300,C539448,0,,unmatched
36301,C539448,1,33395.0,unique_available_candidate
37469,C539467,0,,unmatched
37470,C539467,0,,unmatched
37471,C539467,0,,unmatched
37738,C539476,0,,unmatched
37878,C539486,0,,unmatched
37879,C539486,0,,unmatched
37880,C539486,0,,unmatched
37881,C539486,0,,unmatched
38312,C539499,0,,unmatched
38413,C539565,0,,unmatched
38414,C539565,0,,unmatched
38415,C539566,0,,unmatched
38417,C539568,1,29417.0,unique_available_candidate
38418,C539569,0,,unmatched
38419,C539569,0,,unmatched
38420,C539569,0,,unmatched
38438,C539573,0,,unmatched
38439,C539574,1,18047.0,unique_available_candidate
38440,C539574,0,,unmatched
38441,C539575,0,,unmatched
38442,C539575,0,,unmatched
38443,C539575,0,,unmatched
38444,C539576,1,34120.0,unique_available_candidate
38445,C539576,1,34121.0,unique_available_candidate
38446,C539576,1,34104.0,unique_available_candidate
38447,C539576,1,34107.0,unique_available_candidate
38448,C539576,1,34106.0,unique_available_candidate
38449,C539576,1,34105.0,unique_available_candidate
38450,C539576,1,34116.0,unique_available_candidate
38451,C539576,1,34119.0,unique_available_candidate
38452,C539576,1,34114.0,unique_available_candidate
38453,C539576,1,34115.0,unique_available_candidate
38454,C539576,1,34117.0,unique_available_candidate
38455,C539576,1,34108.0,unique_available_candidate
38456,C539576,1,34113.0,unique_available_candidate
38457,C539576,1,34118.0,unique_available_candidate
38458,C539576,1,34111.0,unique_available_candidate
38459,C539576,1,34112.0,unique_available_candidate
38460,C539576,1,34110.0,unique_available_candidate
38461,C539576,1,34109.0,unique_available_candidate
38462,C539577,0,,unmatched
38609,C539589,0,,unmatched
38932,C539596,0,,unmatched
38935,C539598,0,,unmatched
38936,C539598,0,,unmatched
38937,C539599,0,,unmatched
38938,C539600,0,,unmatched
38939,C539601,0,,unmatched
38940,C539602,1,19973.0,unique_available_candidate
38941,C539602,0,,unmatched
38942,C539602,0,,unmatched
38943,C539602,0,,unmatched
38944,C539602,1,19964.0,unique_available_candidate
38945,C539603,0,,unmatched
38946,C539603,0,,unmatched
38947,C539603,0,,unmatched
38949,C539605,0,,unmatched
38950,C539605,0,,unmatched
38951,C539606,0,,unmatched
38952,C539606,0,,unmatched
38953,C539606,0,,unmatched
39001,C539608,0,,unmatched
39002,C539608,0,,unmatched
39318,C539632,1,31381.0,unique_available_candidate
39319,C539632,1,31382.0,unique_available_candidate
39380,C539640,1,30326.0,unique_available_candidate
39381,C539640,0,,unmatched
39382,C539640,0,,unmatched
39383,C539640,0,,unmatched
39436,C539644,0,,unmatched
39437,C539644,0,,unmatched
39438,C539644,0,,unmatched
39439,C539644,0,,unmatched
39440,C539644,0,,unmatched
39441,C539644,0,,unmatched
39442,C539644,0,,unmatched
39443,C539644,0,,unmatched
39444,C539644,0,,unmatched
39445,C539644,0,,unmatched
39446,C539644,0,,unmatched
39447,C539644,0,,unmatched
39448,C539644,0,,unmatched
39449,C539644,0,,unmatched
39450,C539644,0,,unmatched
39636,C539655,1,31922.0,unique_available_candidate
39638,C539657,1,31862.0,unique_available_candidate
39639,C539657,0,,unmatched
39640,C539657,0,,unmatched
39700,C539661,0,,unmatched
39753,C539667,0,,unmatched
39754,C539667,0,,unmatched
39755,C539667,0,,unmatched
39756,C539667,0,,unmatched
39757,C539667,0,,unmatched
39758,C539667,0,,unmatched
39778,C539707,0,,unmatched
39898,C539709,0,,unmatched
39899,C539709,0,,unmatched
39900,C539709,1,33661.0,unique_available_candidate
39901,C539710,0,,unmatched
39902,C539710,0,,unmatched
39903,C539711,0,,unmatched
39904,C539711,1,38634.0,unique_available_candidate
39905,C539712,0,,unmatched
40054,C539719,0,,unmatched
40055,C539719,0,,unmatched
40056,C539719,0,,unmatched
40119,C539726,0,,unmatched
41187,C539756,0,,unmatched
41326,C539827,0,,unmatched
41332,C539830,0,,unmatched
41349,C539832,0,,unmatched
41404,C539838,0,,unmatched
41509,C539857,0,,unmatched
41522,C539866,0,,unmatched
41523,C539866,0,,unmatched
41524,C539866,0,,unmatched
41603,C539943,0,,unmatched
41604,C539943,0,,unmatched
41605,C539944,0,,unmatched
41606,C539945,0,,unmatched
41607,C539945,0,,unmatched
41608,C539945,0,,unmatched
41609,C539945,0,,unmatched
41619,C539947,1,34289.0,unique_available_candidate
41620,C539948,0,,unmatched
41621,C539949,0,,unmatched
41622,C539950,0,,unmatched
41623,C539950,1,33600.0,unique_available_candidate
41624,C539950,0,,unmatched
41696,C539956,0,,unmatched
42331,C539983,0,,unmatched
42557,C540006,1,17510.0,unique_available_candidate
42558,C540006,0,,unmatched
42559,C540006,1,41342.0,unique_available_candidate
42560,C540007,1,33123.0,unique_available_candidate
42561,C540007,0,,unmatched
43331,C540030,1,39750.0,unique_available_candidate
43448,C540057,0,,unmatched
43559,C540097,1,31227.0,unique_available_candidate
43560,C540097,2,31229.0,multiple_available_candidates
43561,C540097,2,31231.0,multiple_available_candidates
43562,C540097,2,31228.0,multiple_available_candidates
43563,C540097,2,31230.0,multiple_available_candidates
43663,C540109,0,,unmatched
43664,C540112,1,17424.0,unique_available_candidate
43702,C540117,0,,unmatched
43703,C540118,0,,unmatched
43779,C540129,0,,unmatched
43780,C540142,0,,unmatched
43781,C540142,0,,unmatched
43782,C540142,0,,unmatched
43783,C540142,1,34405.0,unique_available_candidate
43856,C540151,0,,unmatched
43857,C540152,0,,unmatched
44152,C540155,0,,unmatched
44153,C540156,0,,unmatched
44205,C540158,0,,unmatched
44206,C540158,0,,unmatched
44207,C540158,0,,unmatched
44208,C540158,0,,unmatched
44209,C540158,0,,unmatched
44210,C540158,0,,unmatched
44211,C540158,0,,unmatched
44212,C540158,0,,unmatched
44294,C540164,0,,unmatched
44295,C540164,0,,unmatched
44296,C540164,0,,unmatched
44297,C540164,0,,unmatched
44298,C540164,0,,unmatched
44299,C540164,0,,unmatched
44300,C540164,0,,unmatched
44301,C540164,2,40076.0,multiple_available_candidates
44302,C540164,5,42332.0,multiple_available_candidates
44303,C540164,0,,unmatched
44304,C540164,0,,unmatched
44305,C540164,0,,unmatched
44306,C540164,0,,unmatched
44307,C540164,0,,unmatched
44308,C540164,1,6684.0,unique_available_candidate
44309,C540165,0,,unmatched
44310,C540165,0,,unmatched
44311,C540165,1,7582.0,unique_available_candidate
44405,C540171,0,,unmatched
44495,C540177,0,,unmatched
44893,C540243,0,,unmatched
44894,C540243,0,,unmatched
44895,C540243,0,,unmatched
44896,C540243,0,,unmatched
44897,C540243,0,,unmatched
44898,C540243,0,,unmatched
44899,C540243,0,,unmatched
44900,C540243,0,,unmatched
44901,C540243,0,,unmatched
44902,C540244,0,,unmatched
44903,C540244,0,,unmatched
44911,C540246,0,,unmatched
44912,C540246,0,,unmatched
44913,C540246,0,,unmatched
44914,C540246,0,,unmatched
44915,C540246,0,,unmatched
44916,C540246,0,,unmatched
44917,C540246,0,,unmatched
44918,C540246,0,,unmatched
44919,C540246,0,,unmatched
44920,C540246,0,,unmatched
44921,C540246,0,,unmatched
44922,C540246,0,,unmatched
44923,C540246,0,,unmatched
44924,C540246,0,,unmatched
44925,C540246,0,,unmatched
45141,C540250,0,,unmatched
45142,C540250,0,,unmatched
45143,C540250,0,,unmatched
45144,C540250,0,,unmatched
45145,C540250,0,,unmatched
45146,C540250,0,,unmatched
45147,C540250,0,,unmatched
45148,C540250,0,,unmatched
45509,C540266,0,,unmatched
45510,C540266,0,,unmatched
45618,C540270,0,,unmatched
45619,C540270,0,,unmatched
45620,C540270,0,,unmatched
45621,C540270,0,,unmatched
45622,C540271,0,,unmatched
45900,C540307,0,,unmatched
45901,C540307,0,,unmatched
45902,C540307,0,,unmatched
45903,C540307,0,,unmatched
45904,C540307,0,,unmatched
45905,C540307,0,,unmatched
45906,C540307,0,,unmatched
45907,C540307,0,,unmatched
45908,C540307,0,,unmatched
45909,C540307,0,,unmatched
45910,C540307,0,,unmatched
45911,C540307,0,,unmatched
45912,C540307,0,,unmatched
45913,C540307,0,,unmatched
45914,C540307,0,,unmatched
45915,C540307,0,,unmatched
45954,C540346,0,,unmatched
45983,C540347,0,,unmatched
46770,C540360,1,46759.0,unique_available_candidate
46771,C540360,1,46747.0,unique_available_candidate
46881,C540366,1,4499.0,unique_available_candidate
46882,C540367,1,46880.0,unique_available_candidate
47122,C540376,0,,unmatched
